arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
13115,13151,0,13110,13143,157,289896,198598,243827,133017,203,10511,70783,99321,425441,15240,8709,1689,9329,3824,2292,11661,465
12691,12660,0,13347,13172,147,503045,331185,212869,118404,197,3071,36183,33746,157475,10143,6511,843,5567,2976,2067,12425,509
11922,11983,0,12728,12835,121,558945,375110,246716,143320,218,21534,121663,114345,318733,13905,9357,1266,7742,2966,1698,9377,903
12780,12313,0,12390,12346,134,282871,195866,129417,66939,192,3125,36496,33878,157255,12206,8837,1246,7987,3509,2436,16255,604
12152,12774,0,13049,13024,162,730006,479734,312716,125570,201,11062,77603,77136,155949,9290,5980,768,5115,3055,1709,8569,477
13557,13371,0,13616,12574,151,283594,194294,128074,65159,207,10718,71212,66995,292810,15729,11210,1698,7646,3914,2355,14508,568
12454,12594,0,12397,12347,173,722398,468332,297987,118610,222,9647,68879,33773,157540,11244,7397,960,6310,3044,1731,9335,515
12282,12184,0,12408,12582,134,283657,195016,129126,84921,223,11769,78784,73171,493487,17482,12289,1393,7641,3504,2037,11626,480
14087,14300,0,12982,13182,133,555788,198007,130482,67156,185,3080,35519,32949,154767,10011,6580,1301,8269,3550,2097,12522,600
12331,12047,0,13076,12977,145,505547,331208,304218,179108,226,10777,75725,75368,344574,14727,6689,972,5708,2970,1646,8889,504
14133,14058,0,13197,13614,124,286708,193570,128456,66149,196,3065,72873,68276,297722,13081,9244,1732,9977,3914,1992,14190,541
12719,11706,0,12369,12352,152,510660,470978,299965,171605,215,9572,68008,66076,299808,10398,9779,1412,8394,3724,2219,13041,524
12653,12012,0,11837,12179,84,284733,196705,129399,66831,234,3087,83352,79818,342324,14195,12891,2130,10175,4025,2060,11825,505
13421,13635,0,14100,13999,153,581648,369462,231765,126257,189,3153,36269,33729,156376,9453,5634,726,5395,2958,1846,12051,538
12104,12155,0,12086,12111,117,503620,331763,213140,118313,211,17269,109566,110475,328821,14698,10936,1518,9000,2991,1682,9283,476
13059,13321,0,13306,13158,128,285121,195511,129066,66496,195,3038,35647,32929,154503,13856,9808,1379,7741,3473,2355,14275,520
12294,12763,0,12625,12673,164,766847,483307,299632,117848,230,15874,98855,95685,290986,14279,10539,1531,6957,2997,1699,10159,453
13115,13112,0,13126,12010,87,286715,196211,128655,66594,203,3376,36100,33995,155425,14205,9992,1418,8425,4058,2421,14609,518
12726,13591,0,13612,13637,180,925781,570679,348116,130561,208,10341,70035,33119,156160,9650,6086,710,5246,2958,1670,9227,500
11621,11642,0,11546,11556,185,281626,193505,129197,71228,210,9660,70103,68820,470941,17928,13397,1760,9297,3660,2167,12580,455
12825,13134,0,13070,13525,146,554719,373349,130480,67579,206,3100,35391,32833,153838,10085,6665,942,7475,3473,2017,11329,535
13163,13161,0,12448,13320,122,551410,353755,221913,175576,202,16006,67860,97489,427762,15562,11255,1385,8318,3577,2088,9713,453
12825,12772,0,12864,13034,165,504773,192845,128479,66182,198,3560,36009,33535,156622,10481,6483,856,8677,3488,2027,12200,556
12813,12708,0,12957,13664,177,613787,404274,374798,209417,224,18923,73420,68848,298947,13291,6753,790,5931,3012,1706,9364,500
12645,12266,0,11870,11833,148,281386,194251,128662,66532,200,3070,35655,66074,300984,13185,9333,1991,10659,4307,2694,12606,538
