arith.div_active,arith.divider_active,arith.fp_divider_active,arith.idiv_active,arith.int_divider_active,assists.any,br_inst_retired.all_branches,br_inst_retired.cond,br_inst_retired.cond_ntaken,br_inst_retired.cond_taken,br_inst_retired.far_branch,br_inst_retired.indirect,br_inst_retired.near_call,br_inst_retired.near_return,br_inst_retired.near_taken,br_misp_retired.all_branches,br_misp_retired.cond,br_misp_retired.cond_ntaken,br_misp_retired.cond_taken,br_misp_retired.indirect,br_misp_retired.indirect_call,br_misp_retired.near_taken,br_misp_retired.ret
12292,12152,0,11965,12013,123,152715,98009,66040,85919,200,8765,54541,86425,376225,16435,12911,1413,9248,2840,2220,9293,526
12964,12899,0,13507,13743,181,662931,275277,179531,105622,211,10867,24062,22903,93983,10451,7453,986,8943,2713,1964,12326,540
12553,12242,0,12563,11887,137,157654,101679,172472,95554,201,9153,88100,86482,365401,16895,10632,1349,9240,2670,1699,9857,495
12877,12992,0,12551,12589,167,164169,106152,70569,35057,191,2327,23206,22145,92495,10433,7881,1604,9517,2939,2127,15704,591
11587,11993,0,12891,12903,196,475391,506440,332491,198152,225,11185,64943,60948,249271,11641,9111,943,8092,2178,1616,10396,465
12915,11772,0,11623,11613,107,159931,103348,69385,35565,190,2405,53820,52528,220959,13157,12461,1865,10815,3305,2104,11786,577
12253,12723,0,13224,13349,207,402293,260711,169772,99539,193,2406,24009,23056,96489,11948,9365,978,8595,2377,1687,13893,545
12244,11948,0,16609,16497,364,2586370,1715826,1019586,582156,206,16950,91825,87385,375846,15128,11591,1629,9976,2593,1992,12326,563
12979,13044,0,13210,12679,185,373848,238840,77803,39291,188,2435,25211,24341,102911,13644,10937,983,9010,3038,2153,14666,550
11666,12133,0,12584,12520,159,448874,292352,193698,195414,217,20969,109570,61662,250411,12554,9396,880,6244,2117,1614,9051,468
13602,13079,0,11365,11781,153,175553,114144,75434,38132,185,2407,24642,23168,233462,14025,10921,1425,12143,3366,2488,17313,549
12212,12719,0,12351,12854,172,579648,375764,160092,93567,204,10389,22944,22120,92330,10989,8431,1025,7140,2222,1689,9318,464
12807,12948,0,12495,12558,135,169193,110557,73088,104610,192,9911,59230,90132,369816,15917,12083,1333,10771,3220,2337,13061,535
11995,11754,0,12565,12661,186,609760,247332,157765,90254,202,8848,24461,23096,93674,11057,8365,849,7211,2192,1655,9184,519
11998,12022,0,12892,12572,116,168508,107643,180417,106393,204,21235,162818,153267,617252,21050,13113,1734,11273,2808,1709,9641,492
13981,14597,0,13006,12516,178,177935,117604,76898,38106,183,2425,24474,23229,94580,10879,8153,1462,9676,2745,2113,16247,614
11427,11481,0,12194,12478,142,376930,378883,239258,144859,207,9764,61995,62841,274435,9077,5955,684,4835,2259,1715,7916,499
13465,13016,0,13194,13254,171,178459,118012,74749,36867,177,2374,63257,59766,246749,15190,14379,1861,12293,3208,1979,15808,565
11910,11432,0,12299,12240,107,386582,378474,236733,138665,200,8921,54643,53259,229220,9646,7030,952,6458,2199,1690,9302,461
12291,11823,0,11772,11723,156,175925,117839,78638,40105,188,11428,73147,72311,300359,16455,15550,2054,12641,2884,2023,12676,493
12468,13531,0,13991,13522,156,416657,252356,154668,82782,181,2623,120783,144966,753104,13076,6942,988,4581,2839,1900,12577,1469
11823,11832,0,12168,12083,145,393408,250513,160642,90958,215,16162,95671,97327,262463,14520,11114,1390,6725,2277,1681,9485,491
13129,13718,0,13685,12753,151,443025,288056,188168,32919,189,2300,22610,21669,90185,14579,11317,1405,10036,3281,2472,16153,588
12812,11919,0,11616,11884,152,416776,256555,159879,88045,205,15373,87926,54607,229676,12420,9295,1252,5671,2281,1725,8122,529
11851,12323,0,11948,11397,162,165711,110070,72404,37070,190,2407,24696,22860,299340,15496,12203,1664,10317,3241,2344,15599,521
13293,13120,0,14104,14635,187,1149443,694594,296648,167034,203,9832,57341,21339,87626,9000,6231,722,5720,2226,1671,9313,511
11498,11300,0,11453,11372,134,175859,114934,75792,91534,200,8949,58597,66976,382604,19116,15499,1632,10987,2963,2121,11176,470
13249,13093,0,12937,13090,152,415051,101794,67911,34077,191,2274,22565,21446,90240,9582,6901,840,8105,2707,2047,11130,578
12362,12721,0,11719,12101,147,456104,281648,270290,151594,216,15372,56492,86995,368369,17233,11180,1466,10559,2807,2038,11953,503
12940,12901,0,12434,12799,150,359814,102522,68461,34755,186,2330,22855,21818,90252,9926,6666,1455,8945,2763,2050,11861,577
12505,12640,0,13140,13086,176,486769,322687,333666,187504,226,10692,63837,60905,249916,14713,8618,938,7729,2340,1677,10510,513
12485,12357,0,11800,11876,164,377587,104314,68298,34219,187,2339,55339,53948,231747,13858,10911,1914,12007,3421,2137,13952,596
12468,12482,0,13107,13082,159,408939,269235,175193,103858,190,2434,24668,22510,95461,10004,7464,787,6664,2241,1636,12090,562
12945,11950,0,12449,11848,166,155588,278381,173201,96780,197,16141,88860,86279,365579,13805,12931,1624,11434,2749,2039,13578,534
12743,12656,0,13174,13099,135,386389,244765,155828,87776,190,2331,23172,22056,91191,9578,6520,875,5146,2256,2211,11754,533
11833,12290,0,12136,12066,161,454368,300442,198563,116544,216,19758,106063,99864,249474,15996,12668,1487,10769,2268,1672,10980,465
12710,12486,0,12019,12376,101,153213,100005,66850,33790,182,2312,22905,21798,89947,12594,9269,1363,8213,2731,2497,15289,623
11499,12862,0,12313,12370,187,620483,405478,264394,100940,207,10707,68392,69488,101408,11978,9050,964,7719,2279,1665,10907,453
12985,12990,0,13462,12456,122,155490,100667,67394,33956,196,9786,58137,55254,236164,15345,11493,1781,7838,3098,2339,14163,549
13267,12592,0,12629,12636,169,594111,376076,162708,90982,200,8935,58038,23884,100696,12253,9610,1011,9868,2406,1673,11961,456
12191,11938,0,12534,12018,162,158529,102938,68297,107527,211,12085,69204,65192,445048,17036,13030,1408,8333,2603,1984,11199,468
14329,14619,0,12181,12475,175,425090,261463,74558,37744,184,2382,24541,23426,99049,11390,8457,985,9683,2867,2108,13253,568
11450,11408,0,11411,12371,160,383242,240518,155212,145548,224,17394,61860,62779,274324,15215,11246,941,7448,2211,1653,10149,470
13621,13583,0,13124,13150,161,486652,109559,72830,37584,181,2409,24477,59556,243973,13603,10083,1406,10628,3198,2347,11710,591
11460,11233,0,12241,12393,155,393979,243781,241949,141654,210,15285,55922,54611,237135,15183,9285,903,8275,2314,1677,11120,478
13255,13230,0,12569,12328,116,168319,106803,69511,35103,195,2347,53883,63570,257023,12948,9730,1829,10538,3178,2019,11764,518
12761,12768,0,13739,13139,204,468163,289911,179565,99447,198,2428,24959,23657,100321,11910,8799,1005,7513,2361,1712,13495,544
12444,12540,0,12352,12764,130,156149,238476,151653,85847,199,9310,95058,96876,426382,13938,10926,1519,9347,2894,1728,8677,502
12753,12745,0,12812,12822,186,184531,123883,83298,42319,200,10822,64759,61207,249250,14350,13543,1745,11795,2755,2012,16408,540
11640,11513,0,12201,12239,162,402505,396458,242438,138647,200,15301,87284,85519,360302,12763,9590,1322,8408,2194,1649,8679,481
13280,12609,0,12558,12558,145,180498,116091,76034,38701,187,2421,25024,24064,100446,12112,13069,1440,11132,2897,2443,16223,499
12282,12924,0,13016,12729,187,771789,461580,276673,126983,197,9744,57674,55027,86656,9607,7442,836,6642,2184,1656,9558,474
11877,11877,0,11863,11817,125,166592,109304,72508,37260,202,8882,58140,58360,254404,19067,15347,2047,11179,2995,2173,13866,573
12302,13107,0,13146,12750,166,425206,273974,179963,33307,187,2262,22296,21577,89886,10705,7966,822,7276,2707,1973,12698,505
12626,12794,0,11531,11639,145,437523,268571,166484,92248,213,15353,87721,54362,364953,15998,12238,1666,8708,2787,2105,11916,482
13145,12919,0,13500,13038,167,387834,242954,71995,35824,194,2379,24071,23094,97310,12331,8964,1079,7800,2878,2063,13023,565
12416,12353,0,12297,12268,128,477434,307475,191855,180598,222,18457,98699,57770,234988,12712,9336,757,5709,2210,1667,8916,514
12352,12044,0,11850,12248,156,176323,116750,77706,39115,185,2470,25347,31346,243857,15739,12376,1603,13056,3479,2590,14588,552
12900,12752,0,12667,12980,177,638849,257470,169200,100366,206,11498,23303,21806,89002,10046,7018,892,6042,2254,1714,8772,540
12917,12624,0,12283,11615,156,183926,119788,182319,100435,194,9195,56325,86493,366866,17162,11194,1829,11763,3189,2360,14333,527
11957,11890,0,12262,12679,180,580201,238808,152217,85822,198,2332,23259,22305,92266,10391,7417,943,6011,2161,1633,8494,529
11612,12176,0,12383,12371,151,174873,114273,201710,117282,195,11251,108850,102820,420544,18787,11799,1372,10055,2773,1686,10700,500
13462,13286,0,12418,12090,164,161907,103961,68194,34219,185,2300,22292,21149,86865,9771,7366,1242,8947,2712,2044,16994,589
12239,11992,0,12502,12453,147,395715,404166,263788,159374,206,10757,68119,69404,299477,11049,8228,997,6902,2274,1665,9068,484
13880,13423,0,13898,13637,168,468884,102807,69628,35629,184,9768,58779,55555,231842,14081,13236,1704,11366,2776,2366,15006,600
12365,12220,0,12678,12578,164,381938,382168,241122,140321,215,8808,55137,55422,241710,9705,7029,909,6030,2346,1791,8255,522
12108,11497,0,11728,11708,154,167522,109203,73679,37761,192,2485,69129,65446,267359,16002,15259,2175,12433,3242,1980,12726,518
12913,12605,0,13417,13126,159,435981,265196,163891,91253,184,2272,22068,21449,88466,9359,6537,790,6302,2278,1758,11740,560
