mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
5853919,3113195,8669802,93877,10053,3379,0,0,220050,232,0,329,0,0,0,0,0,0,0,76682,5428669,132177,135717,436,7,0,0,19074,8753465,10
4746287,2583299,7169730,71215,10093,3405,0,0,223633,195,0,112,22,0,0,0,0,0,0,78737,5437702,138035,140995,179,0,0,0,20238,8764494,10
4752028,2586473,7177831,70826,10090,3397,0,0,235638,164,0,315,0,0,0,0,0,0,0,72511,5442921,129186,131227,495,0,0,0,19490,7836820,0
4709415,2570569,7128880,70673,10073,3409,0,0,217395,239,0,165,0,0,0,0,0,0,0,70317,4591037,130549,132308,645,0,0,0,19325,7764905,0
4760939,2576632,7161845,71063,9939,3380,67,0,230662,376,0,277,134,0,0,0,0,0,0,115680,4787951,127842,130170,780,0,0,0,19467,7809011,0
5301074,3099566,8749059,115323,9952,3374,0,0,225355,374,0,97,7,0,0,0,0,0,0,64793,4607823,127567,133742,277,22,0,0,16440,7836660,45
5255478,2816601,7102634,70386,10001,3377,7,0,221174,322,0,367,60,0,0,0,0,0,0,66521,4645085,125011,128947,491,14,0,0,17409,9785361,74
4739096,2588933,7215986,71217,10029,3399,0,0,224107,270,0,270,52,0,0,0,0,0,0,68454,5476990,131620,131582,462,82,0,0,15710,7803964,5
4731423,2573945,7129938,70658,9955,3354,0,0,225618,286,7,548,172,15,0,0,0,0,0,73635,4602839,131751,133245,141,0,0,0,16805,7791171,9
4768858,2586676,7158952,70678,9978,3394,15,0,236231,97,0,210,0,0,0,0,0,0,0,69123,4642224,127634,131307,283,0,0,0,16324,7865919,0
